,id,price,side,datetime
139,113536.XSHG,114.43,1,2021-01-25T14:49:00.000000000
140,132016.XSHG,102.0,0,2021-01-25T14:50:00.000000000
141,132016.XSHG,103.0,1,2021-01-26T14:49:00.000000000
142,113536.XSHG,113.3,0,2021-01-26T14:50:00.000000000
143,113536.XSHG,107.87,1,2021-02-01T14:49:00.000000000
144,113548.XSHG,131.16,0,2021-02-01T14:50:00.000000000
145,113548.XSHG,131.3,1,2021-02-02T14:49:00.000000000
146,113536.XSHG,107.99,0,2021-02-02T14:50:00.000000000
147,113536.XSHG,101.36,1,2021-02-08T14:49:00.000000000
148,123030.XSHE,125.999,0,2021-02-08T14:50:00.000000000
149,123030.XSHE,127.382,1,2021-02-18T14:49:00.000000000
150,123046.XSHE,133.7,0,2021-02-18T14:50:00.000000000
151,123046.XSHE,136.05,1,2021-02-19T14:49:00.000000000
152,123030.XSHE,128.71,0,2021-02-19T14:50:00.000000000
153,123030.XSHE,133.732,1,2021-02-23T14:49:00.000000000
154,113575.XSHG,119.0,0,2021-02-23T14:50:00.000000000
155,113575.XSHG,119.2,1,2021-02-26T14:49:00.000000000
156,123030.XSHE,129.89,0,2021-02-26T14:50:00.000000000
157,123030.XSHE,139.5,1,2021-03-02T14:49:00.000000000
158,113575.XSHG,121.01,0,2021-03-02T14:50:00.000000000
159,113575.XSHG,125.66,1,2021-03-09T14:49:00.000000000
160,113561.XSHG,107.22,0,2021-03-09T14:50:00.000000000
161,113561.XSHG,109.55,1,2021-03-10T14:49:00.000000000
162,132016.XSHG,99.0,0,2021-03-10T14:50:00.000000000
163,132016.XSHG,99.0,1,2021-03-12T14:49:00.000000000
164,113561.XSHG,114.65,0,2021-03-12T14:50:00.000000000
165,113561.XSHG,115.71,1,2021-03-15T14:49:00.000000000
166,132016.XSHG,99.0,0,2021-03-15T14:50:00.000000000
167,132016.XSHG,99.98,1,2021-03-17T14:49:00.000000000
168,113561.XSHG,112.83,0,2021-03-17T14:50:00.000000000
169,113561.XSHG,100.86,1,2021-04-01T14:49:00.000000000
170,113548.XSHG,130.0,0,2021-04-01T14:50:00.000000000
171,113548.XSHG,133.64,1,2021-04-02T14:49:00.000000000
172,113575.XSHG,129.12,0,2021-04-02T14:50:00.000000000
173,113575.XSHG,130.87,1,2021-04-08T14:49:00.000000000
174,113536.XSHG,112.64,0,2021-04-08T14:50:00.000000000
175,113536.XSHG,112.86,1,2021-04-09T14:49:00.000000000
176,123014.XSHE,117.872,0,2021-04-09T14:50:00.000000000
177,123014.XSHE,116.533,1,2021-04-12T14:49:00.000000000
178,113575.XSHG,129.5,0,2021-04-12T14:50:00.000000000
179,113575.XSHG,137.12,1,2021-04-14T14:49:00.000000000
180,113536.XSHG,112.8,0,2021-04-14T14:50:00.000000000
181,113536.XSHG,113.55,1,2021-04-16T14:49:00.000000000
182,113548.XSHG,130.19,0,2021-04-16T14:50:00.000000000
183,113548.XSHG,132.2,1,2021-04-19T14:49:00.000000000
184,123014.XSHE,118.05,0,2021-04-19T14:50:00.000000000
185,123014.XSHE,118.694,1,2021-04-20T14:49:00.000000000
186,113575.XSHG,138.33,0,2021-04-20T14:50:00.000000000
187,113575.XSHG,135.07,1,2021-04-21T14:49:00.000000000
188,123014.XSHE,118.341,0,2021-04-21T14:50:00.000000000
189,123014.XSHE,116.526,1,2021-04-27T14:49:00.000000000
190,113536.XSHG,112.23,0,2021-04-27T14:50:00.000000000
191,113536.XSHG,112.91,1,2021-04-29T14:49:00.000000000
192,128050.XSHE,128.032,0,2021-04-29T14:50:00.000000000
193,128050.XSHE,136.878,1,2021-05-11T14:49:00.000000000
194,132016.XSHG,99.25,0,2021-05-11T14:50:00.000000000
195,132016.XSHG,99.98,1,2021-05-14T14:49:00.000000000
196,128050.XSHE,128.845,0,2021-05-14T14:50:00.000000000
197,128050.XSHE,128.827,1,2021-05-25T14:49:00.000000000
198,132016.XSHG,99.98,0,2021-05-25T14:50:00.000000000
199,132016.XSHG,101.5,1,2021-05-26T14:49:00.000000000
200,128050.XSHE,128.89,0,2021-05-26T14:50:00.000000000
201,128050.XSHE,127.499,1,2021-05-31T14:49:00.000000000
202,113536.XSHG,116.99,0,2021-05-31T14:50:00.000000000
203,113536.XSHG,116.66,1,2021-06-02T14:49:00.000000000
204,128050.XSHE,127.1,0,2021-06-02T14:50:00.000000000
205,128050.XSHE,132.509,1,2021-06-25T14:49:00.000000000
206,132016.XSHG,101.5,0,2021-06-25T14:50:00.000000000
207,132016.XSHG,101.5,1,2021-06-28T14:49:00.000000000
208,123012.XSHE,133.52,0,2021-06-28T14:50:00.000000000
209,123012.XSHE,131.982,1,2021-06-29T14:49:00.000000000
210,113536.XSHG,115.24,0,2021-06-29T14:50:00.000000000
211,113536.XSHG,115.96,1,2021-07-08T14:49:00.000000000
212,132016.XSHG,101.5,0,2021-07-08T14:50:00.000000000
213,132016.XSHG,101.5,1,2021-07-19T14:49:00.000000000
214,113536.XSHG,115.1,0,2021-07-19T14:50:00.000000000
215,113536.XSHG,116.05,1,2021-07-21T14:49:00.000000000
216,132016.XSHG,101.5,0,2021-07-21T14:50:00.000000000
217,132016.XSHG,100.99,1,2021-07-28T14:49:00.000000000
218,113536.XSHG,114.28,0,2021-07-28T14:50:00.000000000
219,113536.XSHG,115.72,1,2021-08-02T14:49:00.000000000
220,132016.XSHG,100.99,0,2021-08-02T14:50:00.000000000
221,132016.XSHG,100.99,1,2021-08-05T14:49:00.000000000
222,113536.XSHG,116.32,0,2021-08-05T14:50:00.000000000
223,113536.XSHG,118.07,1,2021-08-09T14:49:00.000000000
224,132016.XSHG,100.99,0,2021-08-09T14:50:00.000000000
225,132016.XSHG,102.0,1,2021-09-28T14:49:00.000000000
226,123014.XSHE,128.911,0,2021-09-28T14:50:00.000000000
227,123014.XSHE,128.255,1,2021-10-11T14:49:00.000000000
228,132016.XSHG,102.0,0,2021-10-11T14:50:00.000000000
229,132016.XSHG,102.0,1,2021-10-12T14:49:00.000000000
230,123014.XSHE,127.5,0,2021-10-12T14:50:00.000000000
231,123014.XSHE,126.44,1,2021-10-22T14:49:00.000000000
232,132016.XSHG,100.94,0,2021-10-22T14:50:00.000000000
233,132016.XSHG,100.94,1,2021-10-25T14:49:00.000000000
234,123014.XSHE,125.7,0,2021-10-25T14:50:00.000000000
235,123014.XSHE,127.0,1,2021-10-26T14:49:00.000000000
236,132016.XSHG,100.94,0,2021-10-26T14:50:00.000000000
237,132016.XSHG,100.94,1,2021-10-27T14:49:00.000000000
238,123014.XSHE,126.667,0,2021-10-27T14:50:00.000000000
239,123014.XSHE,129.868,1,2021-10-28T14:49:00.000000000
240,113536.XSHG,124.64,0,2021-10-28T14:50:00.000000000
241,113536.XSHG,128.21,1,2021-11-01T14:49:00.000000000
242,132016.XSHG,99.5,0,2021-11-01T14:50:00.000000000
243,132016.XSHG,100.0,1,2022-02-16T14:49:00.000000000
244,123014.XSHE,129.011,0,2022-02-16T14:50:00.000000000
245,123014.XSHE,133.597,1,2022-02-21T14:49:00.000000000
246,132016.XSHG,100.0,0,2022-02-21T14:50:00.000000000
247,132016.XSHG,103.9,1,2022-02-23T14:49:00.000000000
248,113575.XSHG,128.94,0,2022-02-23T14:50:00.000000000
249,113575.XSHG,127.75,1,2022-02-24T14:49:00.000000000
250,113561.XSHG,119.9,0,2022-02-24T14:50:00.000000000
251,113561.XSHG,114.8,1,2022-03-29T14:49:00.000000000
252,128079.XSHE,118.25,0,2022-03-29T14:50:00.000000000
253,128079.XSHE,139.041,1,2022-04-06T14:49:00.000000000
254,113561.XSHG,117.53,0,2022-04-06T14:50:00.000000000
255,113561.XSHG,116.36,1,2022-04-08T14:49:00.000000000
256,128079.XSHE,125.505,0,2022-04-08T14:50:00.000000000
257,128079.XSHE,118.22,1,2022-04-13T14:49:00.000000000
258,123014.XSHE,129.792,0,2022-04-13T14:50:00.000000000
259,123014.XSHE,132.701,1,2022-04-21T14:49:00.000000000
260,113561.XSHG,117.1,0,2022-04-21T14:50:00.000000000
261,113561.XSHG,114.19,1,2022-04-25T14:49:00.000000000
262,123052.XSHE,122.78,0,2022-04-25T14:50:00.000000000
263,123052.XSHE,122.37,1,2022-04-26T14:49:00.000000000
264,123014.XSHE,125.14,0,2022-04-26T14:50:00.000000000
265,123014.XSHE,130.095,1,2022-05-09T14:49:00.000000000
266,123052.XSHE,130.116,0,2022-05-09T14:50:00.000000000
267,123052.XSHE,178.386,1,2022-05-11T14:49:00.000000000
268,113561.XSHG,115.5,0,2022-05-11T14:50:00.000000000
269,113561.XSHG,118.6,1,2022-05-18T14:49:00.000000000
270,113567.XSHG,131.48,0,2022-05-18T14:50:00.000000000
271,113567.XSHG,132.4,1,2022-05-19T14:49:00.000000000
272,113561.XSHG,118.88,0,2022-05-19T14:50:00.000000000
273,113561.XSHG,118.18,1,2022-05-25T14:49:00.000000000
274,113541.XSHG,121.23,0,2022-05-25T14:50:00.000000000
275,113541.XSHG,125.91,1,2022-05-30T14:49:00.000000000
276,113561.XSHG,118.67,0,2022-05-30T14:50:00.000000000
277,113561.XSHG,124.13,1,2022-06-20T14:49:00.000000000
278,113566.XSHG,120.32,0,2022-06-20T14:50:00.000000000
279,113566.XSHG,120.9,1,2022-06-21T14:49:00.000000000
280,113561.XSHG,125.55,0,2022-06-21T14:50:00.000000000
281,113561.XSHG,138.16,1,2022-06-23T14:49:00.000000000
282,110070.XSHG,132.7,0,2022-06-23T14:50:00.000000000
283,110070.XSHG,127.75,1,2022-06-24T14:49:00.000000000
284,113566.XSHG,124.5,0,2022-06-24T14:50:00.000000000
285,113566.XSHG,125.96,1,2022-06-27T14:49:00.000000000
286,110070.XSHG,128.74,0,2022-06-27T14:50:00.000000000
287,110070.XSHG,127.5,1,2022-06-29T14:49:00.000000000
288,113566.XSHG,123.28,0,2022-06-29T14:50:00.000000000
289,113566.XSHG,123.11,1,2022-07-05T14:49:00.000000000
290,113561.XSHG,127.98,0,2022-07-05T14:50:00.000000000
291,113561.XSHG,130.77,1,2022-07-19T14:49:00.000000000
292,113566.XSHG,123.96,0,2022-07-19T14:50:00.000000000
293,113566.XSHG,128.3,1,2022-07-29T14:49:00.000000000
294,110070.XSHG,125.39,0,2022-07-29T14:50:00.000000000
295,110070.XSHG,125.22,1,2022-08-01T14:49:00.000000000
296,113566.XSHG,128.8,0,2022-08-01T14:50:00.000000000
297,113566.XSHG,124.5,1,2022-08-25T14:49:00.000000000
298,113561.XSHG,127.5,0,2022-08-25T14:50:00.000000000
299,113561.XSHG,129.2,1,2022-08-30T14:49:00.000000000
300,113566.XSHG,123.5,0,2022-08-30T14:50:00.000000000
301,113566.XSHG,121.9,1,2022-08-31T14:49:00.000000000
302,113561.XSHG,125.116,0,2022-08-31T14:50:00.000000000
303,113561.XSHG,132.432,1,2022-09-08T14:49:00.000000000
304,113566.XSHG,123.949,0,2022-09-08T14:50:00.000000000
305,113566.XSHG,124.09,1,2022-09-09T14:49:00.000000000
306,113577.XSHG,129.262,0,2022-09-09T14:50:00.000000000
307,113577.XSHG,129.02,1,2022-09-13T14:49:00.000000000
308,113566.XSHG,125.964,0,2022-09-13T14:50:00.000000000
309,113566.XSHG,122.588,1,2022-09-16T14:49:00.000000000
310,113561.XSHG,126.755,0,2022-09-16T14:50:00.000000000
311,113561.XSHG,131.672,1,2022-09-22T14:49:00.000000000
312,113577.XSHG,126.489,0,2022-09-22T14:50:00.000000000
313,113577.XSHG,123.439,1,2022-09-27T14:49:00.000000000
314,113561.XSHG,127.85,0,2022-09-27T14:50:00.000000000
315,113561.XSHG,124.638,1,2022-11-30T14:49:00.000000000
